id,gene_symbol,gene_name,entrez_gene_id,homologene_group_id
11707,Atoh1,atonal homolog 1 (Drosophila),11921,31297
32884,Atoh7,atonal homolog 7 (Drosophila),53404,32338
46934,Atoh8,atonal homolog 8 (Drosophila),71093,41893
11768,Atp10a,"ATPase, class V, type 10A",11982,56461
11714,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",11928,564
62830,Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",98660,47947
11718,Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",11932,36075
11766,Atp8a1,"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1",11980,48402
20001,Atxn1,ataxin 1,20238,281
11784,Avp,arginine vasopressin,11998,417
33433,Avpr1a,arginine vasopressin receptor 1A,54140,568
26109,Avpr1b,arginine vasopressin receptor 1B,26361,22678
11786,Avpr2,arginine vasopressin receptor 2,12000,20064
11791,Axin1,axin 1,12005,2614
11792,Axin2,axin2,12006,3420
26110,Axl,AXL receptor tyrosine kinase,26362,7583
26624,B3galt2,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2",26878,74512
93607,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",280645,50574
32943,B3gnt2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",53625,4797
11799,Bach1,BTB and CNC homology 1,12013,916
11800,Bach2,BTB and CNC homology 2,12014,7240
144469,Baiap3,BAI1-associated protein 3,545192,20844
43853,Bambi,BMP and activin membrane-bound inhibitor,68010,8215
33713,Barhl1,BarH-like 1 (Drosophila),54422,81871
68547,Barhl2,BarH-like 2 (Drosophila),104382,10572
11808,Barx1,BarH-like homeobox 1,12022,7241
11809,Barx2,BarH-like homeobox 2,12023,2715
50322,Batf2,"basic leucine zipper transcription factor, ATF-like 2",74481,12569
46349,Bbx,bobby sox homolog (Drosophila),70508,10634
11818,Bcan,brevican,12032,7244
12710,Bcar1,breast cancer anti-estrogen resistance 1,12927,7674
11821,Bcat1,"branched chain aminotransferase 1, cytosolic",12035,20320
11824,Bche,butyrylcholinesterase,12038,20065
13802,Bcl11a,B cell CLL/lymphoma 11A (zinc finger protein),14025,11284
37240,Bcl11b,B cell leukemia/lymphoma 11B,58208,10974
11829,Bcl2,B cell leukemia/lymphoma 2,12043,527
11911,Bcl2l11,BCL2-like 11 (apoptosis facilitator),12125,7643
11839,Bcl6,B cell leukemia/lymphoma 6,12053,7640
53418,Bcl9,B cell CLL/lymphoma 9,77578,3191
47299,Bcor,BCL6 interacting corepressor,71458,9809
107311,Bcorl1,BCL6 co-repressor-like 1,320376,41458
11850,Bdnf,brain derived neurotrophic factor,12064,7245
17110,Bhlha15,"basic helix-loop-helix family, member a15",17341,7838
107457,Bhlha9,"basic helix-loop-helix family, member a9",320522,82363
37621,Bhlhe22,"basic helix-loop-helix family, member e22",59058,10994
79902,Bhlhe23,"basic helix-loop-helix family, member e23",140489,50956
20655,Bhlhe40,"basic helix-loop-helix family, member e40",20893,2722
55198,Bhlhe41,"basic helix-loop-helix family, member e41",79362,11549
11907,Bicd1,bicaudal D homolog 1 (Drosophila),12121,37518
18223,Bloc1s6,"biogenesis of lysosomal organelles complex-1, subunit 6, pallidin",18457,40841
11939,Bmp1,bone morphogenetic protein 1,12153,55955
11940,Bmp10,bone morphogenetic protein 10,12154,7644
11941,Bmp15,bone morphogenetic protein 15,12155,3977
11942,Bmp2,bone morphogenetic protein 2,12156,926
74232,Bmp3,bone morphogenetic protein 3,110075,927
11945,Bmp4,bone morphogenetic protein 4,12159,7247
11946,Bmp5,bone morphogenetic protein 5,12160,22412
11947,Bmp6,bone morphogenetic protein 6,12161,1300
11948,Bmp7,bone morphogenetic protein 7,12162,20410
11949,Bmp8a,bone morphogenetic protein 8a,12163,74865
11952,Bmpr1a,"bone morphogenetic protein receptor, type 1A",12166,20911
11953,Bmpr1b,"bone morphogenetic protein receptor, type 1B",12167,20322
11954,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",12168,929
71933,Bmyc,brain expressed myelocytomatosis oncogene,107771,11343
78669,Boc,biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) binding protein,117606,32819
83840,Bptf,bromodomain PHD finger transcription factor,207165,114397
11975,Brca1,breast cancer 1,12189,5276
92623,Brpf3,"bromodomain and PHD finger containing, 3",268936,16092
89289,Bsx,brain specific homeobox,244813,65347
49848,Btbd11,BTB (POZ) domain containing 11,74007,72536
12008,Btc,"betacellulin, epidermal growth factor family member",12223,1309
85373,Btf3,basic transcription factor 3,218490,37453
12019,Btrc,beta-transducin repeat containing protein,12234,39330
12044,C1qa,"complement component 1, q subcomponent, alpha polypeptide",12259,7249
12045,C1qb,"complement component 1, q subcomponent, beta polypeptide",12260,418
86401,C1ql2,"complement component 1, q subcomponent-like 2",226359,18792
107334,C230009H10Rik,RIKEN cDNA C230009H10 gene,320399,
12053,C4b,complement component 4B (Chido blood group),12268,36030
12071,Cacna1a,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",12286,56383
12072,Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit",12287,20184
12076,Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit",12291,22544
37256,Cacna1h,"calcium channel, voltage-dependent, T type, alpha 1H subunit",58226,56913
12078,Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,579
12079,Cacna2d3,"calcium channel, voltage-dependent, alpha2/delta subunit 3",12294,74929
80075,Cacng5,"calcium channel, voltage-dependent, gamma subunit 5",140723,15424
57576,Cacng7,"calcium channel, voltage-dependent, gamma subunit 7",81904,12895
34014,Cadm1,cell adhesion molecule 1,54725,8641
60961,Cadm3,cell adhesion molecule 3,94332,10919
107340,Cadps2,Ca2+-dependent activator protein for secretion 2,320405,23060
12092,Calb1,calbindin 1,12307,21026
12093,Calb2,calbindin 2,12308,1318
12095,Calca,"calcitonin/calcitonin-related polypeptide, alpha",12310,105263
78211,Calcb,"calcitonin-related polypeptide, beta",116903,88401
12096,Calcr,calcitonin receptor,12311,1320
12107,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,12322,56577
12111,Camk4,calcium/calmodulin-dependent protein kinase IV,12326,100780
64242,Camta1,calmodulin binding transcription activator 1,100072,18942
85081,Camta2,calmodulin binding transcription activator 2,216874,9021
48446,Car10,carbonic anhydrase 10,72605,23201
12134,Car2,carbonic anhydrase 2,12349,37256
12135,Car3,carbonic anhydrase 3,12350,31298
26965,Cartpt,CART prepropeptide,27220,3169
12152,Casp3,caspase 3,12367,37912
12181,Cbfa2t2,"core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)",12396,3733
12190,Cbln2,cerebellin 2 precursor protein,12405,18203
35690,Cbln3,cerebellin 3 precursor protein,56410,56861
86816,Cbln4,cerebellin 4 precursor protein,228942,15419
12209,Cck,cholecystokinin,12424,583
12210,Cckar,cholecystokinin A receptor,12425,37337
12211,Cckbr,cholecystokinin B receptor,12426,7258
12235,Ccng1,cyclin G1,12450,2995
88069,Cd109,CD109 antigen,235505,25183
32917,Cd164,CD164 antigen,53599,38129
12269,Cd24a,CD24a antigen,12484,7662
12290,Cd44,CD44 antigen,12505,508
16196,Cd47,"CD47 antigen (Rh-related antigen, integrin-associated signal transducer)",16423,1346
12294,Cd59a,CD59a antigen,12509,
12312,Cd9,CD9 antigen,12527,20420
12325,Cdc42,cell division cycle 42,12540,123986
85297,Cdca7l,cell division cycle associated 7 like,217946,10285
12335,Cdh1,cadherin 1,12550,20917
107808,Cdh10,cadherin 10,320873,68530
12337,Cdh11,cadherin 11,12552,1361
84832,Cdh12,cadherin 12,215654,37873
12339,Cdh13,cadherin 13,12554,20335
12342,Cdh17,cadherin 17,12557,56859
107800,Cdh18,cadherin 18,320865,55858
12343,Cdh2,cadherin 2,12558,20424
23589,Cdh20,cadherin 20,23836,8015
22052,Cdh23,cadherin 23 (otocadherin),22295,11142
88525,Cdh24,cadherin-like 24,239096,56951
12345,Cdh3,cadherin 3,12560,20425
12346,Cdh4,cadherin 4,12561,48044
12347,Cdh5,cadherin 5,12562,1359
12348,Cdh6,cadherin 6,12563,21027
88823,Cdh7,"cadherin 7, type 2",241201,68391
12349,Cdh8,cadherin 8,12564,55604
12350,Cdh9,cadherin 9,12565,9450
81990,Cdhr1,cadherin-related family member 1,170677,13215
47881,Cdhr5,cadherin-related family member 5,72040,69345
12353,Cdk5,cyclin-dependent kinase 5,12568,3623
12354,Cdk5r1,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)",12569,31200
37081,Cdon,cell adhesion molecule-related/down-regulated by oncogenes,57810,22996
50437,Cds1,CDP-diacylglycerol synthase 1,74596,68173
12375,Cdx1,caudal type homeobox 1,12590,1366
12376,Cdx2,caudal type homeobox 2,12591,968
12377,Cdx4,caudal type homeobox 4,12592,3806
12391,Cebpa,"CCAAT/enhancer binding protein (C/EBP), alpha",12606,3211
12394,Cebpd,"CCAAT/enhancer binding protein (C/EBP), delta",12609,3808
74949,Cebpe,"CCAAT/enhancer binding protein (C/EBP), epsilon",110794,1367
12396,Cebpg,"CCAAT/enhancer binding protein (C/EBP), gamma",12611,1368
12399,Celsr1,"cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)",12614,7665
33178,Celsr2,"cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)",53883,1078
72096,Celsr3,"cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)",107934,1077
12401,Cenpb,centromere protein B,12616,1370
85972,Cerk,ceramide kinase,223753,11247
43103,Cers4,ceramide synthase 4,67260,11582
47790,Cers5,ceramide synthase 5,71949,23634
12412,Cfc1,"cripto, FRL-1, cryptic family 1",12627,50007
12418,Cflar,CASP8 and FADD-like apoptosis regulator,12633,7652
12432,Chat,choline acetyltransferase,12647,40693
12446,Chl1,cell adhesion molecule with homology to L1CAM,12661,21314
12454,Chrm1,"cholinergic receptor, muscarinic 1, CNS",12669,20189
89123,Chrm2,"cholinergic receptor, muscarinic 2, cardiac",243764,20190
12456,Chrm3,"cholinergic receptor, muscarinic 3, cardiac",12671,20191
12457,Chrm4,"cholinergic receptor, muscarinic 4",12672,20192
84603,Chrm5,"cholinergic receptor, muscarinic 5",213788,22697
11224,Chrna1,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)",11435,59
75055,Chrna2,"cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)",110902,20193
74989,Chrna3,"cholinergic receptor, nicotinic, alpha polypeptide 3",110834,591
11227,Chrna4,"cholinergic receptor, nicotinic, alpha polypeptide 4",11438,592
74990,Chrna5,"cholinergic receptor, nicotinic, alpha polypeptide 5",110835,55485
11229,Chrna6,"cholinergic receptor, nicotinic, alpha polypeptide 6",11440,20888
11230,Chrna7,"cholinergic receptor, nicotinic, alpha polypeptide 7",11441,593
87214,Chrna9,"cholinergic receptor, nicotinic, alpha polypeptide 9",231252,9729
11233,Chrnb2,"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)",11444,595
72205,Chrnb3,"cholinergic receptor, nicotinic, beta polypeptide 3",108043,36035
72177,Chrnb4,"cholinergic receptor, nicotinic, beta polypeptide 4",108015,20196
33662,Chst2,carbohydrate sulfotransferase 2,54371,3150
84269,Churc1,churchill domain containing 1,211151,17046
47563,Cic,capicua homolog (Drosophila),71722,87637
12488,Cit,citron,12704,21404
12489,Cited1,Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1,12705,3057
17451,Cited2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",17684,4433
56568,Clca3a2,chloride channel calcium activated 3A2,80797,74932
12512,Clcn5,chloride channel 5,12728,73872
18184,Cldn11,claudin 11,18417,4093
12525,Cldn5,claudin 5,12741,2459
35923,Clec7a,"C-type lectin domain family 7, member a",56644,49606
12537,Clock,circadian locomotor output cycles kaput,12753,3603
41788,Clstn1,calsyntenin 1,65945,8814
40718,Clstn2,calsyntenin 2,64085,49698
12543,Clu,clusterin,12759,1382
12582,Cnp,"2',3'-cyclic nucleotide 3' phosphodiesterase",12799,7672
12584,Cnr1,cannabinoid receptor 1 (brain),12801,7273
12585,Cnr2,cannabinoid receptor 2 (macrophage),12802,1389
12588,Cntn1,contactin 1,12805,7274
21128,Cntn2,contactin 2,21367,3720
18254,Cntn3,contactin 3,18488,7461
33165,Cntn6,contactin 6,53870,8702
81891,Cntnap4,contactin associated protein-like 4,170571,24912
26666,Cntrl,centriolin,26920,38260
12593,Coch,coagulation factor C homolog (Limulus polyphemus),12810,20868
12597,Col11a1,"collagen, type XI, alpha 1",12814,56389
12598,Col11a2,"collagen, type XI, alpha 2",12815,22547
12599,Col12a1,"collagen, type XII, alpha 1",12816,3217
12600,Col13a1,"collagen, type XIII, alpha 1",12817,22421
12601,Col14a1,"collagen, type XIV, alpha 1",12818,18741
12602,Col15a1,"collagen, type XV, alpha 1",12819,1396
71746,Col16a1,"collagen, type XVI, alpha 1",107581,1397
12605,Col18a1,"collagen, type XVIII, alpha 1",12822,7673
12625,Col1a1,"collagen, type I, alpha 1",12842,73874
88369,Col23a1,"collagen, type XXIII, alpha 1",237759,72101
47196,Col24a1,"collagen, type XXIV, alpha 1",71355,65061
12607,Col2a1,"collagen, type II, alpha 1",12824,55607
12608,Col3a1,"collagen, type III, alpha 1",12825,55433
12609,Col4a1,"collagen, type IV, alpha 1",12826,20437
12610,Col4a2,"collagen, type IV, alpha 2",12827,1390
12613,Col4a5,"collagen, type IV, alpha 5",12830,22422
12614,Col5a1,"collagen, type V, alpha 1",12831,55434
12615,Col5a2,"collagen, type V, alpha 2",12832,20119
12616,Col6a1,"collagen, type VI, alpha 1",12833,1391
12620,Col8a1,"collagen, type VIII, alpha 1",12837,22423
12622,Col9a1,"collagen, type IX, alpha 1",12839,1393
12624,Col9a3,"collagen, type IX, alpha 3",12841,20438
12629,Comt,catechol-O-methyltransferase,12846,30982
33453,Copg2,"coatomer protein complex, subunit gamma 2",54160,56292
26501,Cops5,"COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana)",26754,55992
12637,Cort,cortistatin,12854,997
47883,Cotl1,coactosin-like 1 (Dictyostelium),72042,10898
12645,Cox6a2,cytochrome c oxidase subunit VIa polypeptide 2,12862,38020
69759,Cphx1,cytoplasmic polyadenylated homeobox 1,105594,104299
87854,Cpne2,copine II,234577,27392
66447,Cpne7,copine VII,102278,65128
12695,Creb1,cAMP responsive element binding protein 1,12912,3223
12696,Creb3,cAMP responsive element binding protein 3,12913,31375
26175,Creb3l1,cAMP responsive element binding protein 3-like 1,26427,8058
83997,Creb3l2,cAMP responsive element binding protein 3-like 2,208647,18690
84003,Creb3l3,cAMP responsive element binding protein 3-like 3,208677,13080
54124,Creb3l4,cAMP responsive element binding protein 3-like 4,78284,12693
12697,Crebbp,CREB binding protein,12914,68393
87640,Crebzf,CREB/ATF bZIP transcription factor,233490,10926
12701,Crh,corticotropin releasing hormone,12918,599
12704,Crhr1,corticotropin releasing hormone receptor 1,12921,20920
12705,Crhr2,corticotropin releasing hormone receptor 2,12922,55612
12714,Crlf1,cytokine receptor-like factor 1,12931,3489
48673,Crtac1,cartilage acidic protein 1,72832,23070
12734,Crx,cone-rod homeobox,12951,467
142452,Crxos,"cone-rod homeobox, opposite strand",546024,86022
12754,Crym,"crystallin, mu",12971,1424
70024,Csdc2,"cold shock domain containing C2, RNA binding",105859,8701
12760,Csf1,colony stimulating factor 1 (macrophage),12977,7282
12761,Csf1r,colony stimulating factor 1 receptor,12978,3817
60339,Csnk1a1,"casein kinase 1, alpha 1",93687,111694
68483,Csnk1d,"casein kinase 1, delta",104318,74841
27118,Csnk1e,"casein kinase 1, epsilon",27373,121695
84736,Csnk1g1,"casein kinase 1, gamma 1",214897,48692
67403,Csnk1g2,"casein kinase 1, gamma 2",103236,100845
12778,Csnk2a1,"casein kinase 2, alpha 1 polypeptide",12995,90874
12783,Csnk2a2,"casein kinase 2, alpha prime polypeptide",13000,20444
12784,Csnk2b,"casein kinase 2, beta polypeptide",13001,55572
12793,Cst3,cystatin C,13010,78
12800,Ctbp2,C-terminal binding protein 2,13017,75187
153829,Ctcfl,CCCTC-binding factor (zinc finger protein)-like,664799,46476
12802,Ctf1,cardiotrophin 1,13019,1016
13996,Ctgf,connective tissue growth factor,14219,1431
12172,Ctnnb1,"catenin (cadherin associated protein), beta 1",12387,1434
42930,Ctnnbip1,catenin beta interacting protein 1,67087,10641
12173,Ctnnd1,"catenin (cadherin associated protein), delta 1",12388,1017
86867,Ctso,cathepsin O,229445,1020
36114,Ctsr,cathepsin R,56835,75127
12821,Ctss,cathepsin S,13040,20867
29776,Cttnbp2,cortactin binding protein 2,30785,14125
12828,Cux1,cut-like homeobox 1,13047,22551
12829,Cux2,cut-like homeobox 2,13048,22426
20075,Cx3cl1,chemokine (C-X3-C motif) ligand 1,20312,2251
20078,Cxcl12,chemokine (C-X-C motif) ligand 12,20315,507
12551,Cxcr4,chemokine (C-X-C motif) receptor 4,12767,20739
106413,Cxxc4,CXXC finger 4,319478,11878
42288,Cyc1,cytochrome c-1,66445,55617
12856,Cyp19a1,"cytochrome P450, family 19, subfamily a, polypeptide 1",13075,30955
87382,Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1",232174,23179
35335,Cyp39a1,"cytochrome P450, family 39, subfamily a, polypeptide 1",56050,9580
12903,Cyp7b1,"cytochrome P450, family 7, subfamily b, polypeptide 1",13123,3544
15780,Cyr61,cysteine rich protein 61,16007,1194
106849,D630021H01Rik,RIKEN cDNA D630021H01 gene,319914,
84026,Daam1,dishevelled associated activator of morphogenesis 1,208846,36635
52282,Daam2,dishevelled associated activator of morphogenesis 2,76441,69186
12911,Dab1,disabled 1,13131,32084
12914,Dach1,dachshund 1 (Drosophila),13134,7288
60489,Dach2,dachshund 2 (Drosophila),93837,33472
37599,Dact1,"dapper homolog 1, antagonist of beta-catenin (xenopus)",59036,9613
12946,Dbh,dopamine beta hydroxylase,13166,615
12947,Dbi,diazepam binding inhibitor,13167,39086
12950,Dbp,D site albumin promoter binding protein,13170,1035
12952,Dbx1,developing brain homeobox 1,13172,19002
85987,Dbx2,developing brain homeobox 2,223843,54981
47674,Dcaf7,DDB1 and CUL4 associated factor 7,71833,55930
12956,Dcc,deleted in colorectal carcinoma,13176,21081
12959,Dcn,decorin,13179,22430
77609,Dcun1d1,"DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)",114893,10773
87722,Dcun1d3,"DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)",233805,16155
64907,Dcun1d4,"DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)",100737,22867
52703,Dcun1d5,"DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)",76863,9028
12973,Dcx,doublecortin,13193,7683
12975,Ddc,dopa decarboxylase,13195,618
12978,Ddit3,DNA-damage inducible transcript 3,13198,3012
49125,Ddit4l,DNA-damage-inducible transcript 4-like,73284,12698
12090,Ddr1,"discoidin domain receptor family, member 1",12305,68212
17981,Ddr2,"discoidin domain receptor family, member 2",18214,68505
12987,Ddx5,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,13207,6797
33299,Deaf1,deformed epidermal autoregulatory factor 1 (Drosophila),54006,9647
62168,Deptor,DEP domain containing MTOR-interacting protein,97998,32551
89267,Disc1,disrupted in schizophrenia 1,244667,10257
13159,Dkk1,dickkopf homolog 1 (Xenopus laevis),13380,7689
36090,Dkk2,dickkopf homolog 2 (Xenopus laevis),56811,8681
30269,Dkk3,dickkopf homolog 3 (Xenopus laevis),50781,8303
87790,Dkk4,dickkopf homolog 4 (Xenopus laevis),234130,8680
13164,Dlg4,"discs, large homolog 4 (Drosophila)",13385,1047
13165,Dlk1,delta-like 1 homolog (Drosophila),13386,2846
13167,Dll1,delta-like 1 (Drosophila),13388,4104
13168,Dll3,delta-like 3 (Drosophila),13389,7291
33776,Dll4,delta-like 4 (Drosophila),54485,10411
13169,Dlx1,distal-less homeobox 1,13390,22558
13171,Dlx2,distal-less homeobox 2,13392,3244
